time_sec,time_nsec,j1,j2
20,449000000,0.0,1.5707963267948966
20,499000000,0.0,1.5707963267948966
20,549000000,0.0,1.5707963267948966
20,599000000,0.0,1.5707963267948966
20,649000000,0.0,1.5707963267948966
20,699000000,0.0,1.5707963267948966
20,749000000,0.0,1.5707963267948966
20,799000000,0.0,1.5707963267948966
20,849000000,0.0,1.5707963267948966
20,899000000,0.0,1.5707963267948966
20,949000000,0.0,1.5707963267948966
20,986000000,0.0,1.5707963267948966
21,24000000,0.0,1.5707963267948966
21,74000000,0.0,1.5707963267948966
21,124000000,0.0,1.5707963267948966
21,174000000,0.0,1.5707963267948966
21,224000000,0.0,1.5707963267948966
21,274000000,0.0,1.5707963267948966
21,324000000,0.0,1.5707963267948966
21,374000000,0.0,1.5707963267948966
21,424000000,0.0,1.5707963267948966
21,474000000,0.0,1.5707963267948966
21,524000000,0.0,1.5707963267948966
21,574000000,0.0,1.5707963267948966
21,624000000,0.0,1.5707963267948966
21,674000000,0.0,1.5707963267948966
21,724000000,0.0,1.5707963267948966
21,774000000,0.0,1.5707963267948966
21,824000000,0.0,1.5707963267948966
21,874000000,0.0,1.5707963267948966
21,924000000,0.0,1.5707963267948966
21,974000000,0.0,1.5707963267948966
22,24000000,0.0,1.5707963267948966
22,74000000,0.0,1.5707963267948966
22,124000000,0.0,1.5707963267948966
22,174000000,0.0,1.5707963267948966
22,224000000,0.0,1.5707963267948966
22,274000000,0.0,1.5707963267948966
22,324000000,0.0,1.5707963267948966
22,374000000,0.0,1.5707963267948966
22,424000000,0.0,1.5707963267948966
22,474000000,0.0,1.5707963267948966
22,524000000,0.0,1.5707963267948966
22,574000000,0.0,1.5707963267948966
22,624000000,0.0,1.5707963267948966
22,674000000,0.0,1.5707963267948966
22,724000000,0.0,1.5707963267948966
22,774000000,0.0,1.5707963267948966
22,824000000,0.0,1.5707963267948966
22,874000000,0.0,1.5707963267948966
22,924000000,0.0,1.5707963267948966
22,974000000,0.0,1.5707963267948966
23,24000000,0.0,1.5707963267948966
23,74000000,0.0,1.5707963267948966
23,124000000,0.0,1.5707963267948966
23,174000000,0.0,1.5707963267948966
23,224000000,0.0,1.5707963267948966
23,274000000,0.0,1.5707963267948966
23,324000000,0.0,1.5707963267948966
23,374000000,0.0,1.5707963267948966
23,424000000,0.0,1.5707963267948966
35,878000000,0.0,1.5707963267948966
35,927000000,0.0,1.5707963267948966
35,977000000,0.0,1.5707963267948966
36,27000000,0.0,1.5707963267948966
36,77000000,0.0,1.5707963267948966
36,127000000,0.0,1.5707963267948966
36,177000000,0.0015707963267948964,1.5707963267948966
36,227000000,0.0015707963267948964,1.5707963267948966
36,277000000,0.003141592653589793,1.5707963267948966
36,327000000,0.00471238898038469,1.5707963267948966
36,377000000,0.007853981633974483,1.5707963267948966
36,427000000,0.00942477796076938,1.5707963267948966
36,477000000,0.012566370614359171,1.5707963267948966
36,527000000,0.015707963267948967,1.5707963267948966
36,577000000,0.020420352248333655,1.5707963267948966
36,627000000,0.025132741228718343,1.5707963267948966
36,677000000,0.029845130209103034,1.5707963267948966
36,727000000,0.034557519189487726,1.5707963267948966
36,777000000,0.04084070449666731,1.5707963267948966
36,827000000,0.0471238898038469,1.5707963267948966
36,877000000,0.05497787143782138,1.5707963267948966
36,927000000,0.06283185307179587,1.5707963267948966
36,977000000,0.07068583470577035,1.5707963267948966
37,26000000,0.08011061266653972,1.5707963267948966
37,76000000,0.0895353906273091,1.5707963267948966
37,126000000,0.10053096491487337,1.5707963267948966
37,176000000,0.11152653920243766,1.5707963267948966
37,226000000,0.12252211349000193,1.5707963267948966
37,276000000,0.1350884841043611,1.5707963267948966
37,326000000,0.1476548547187203,1.5707963267948966
37,376000000,0.16179202165987433,1.5707963267948966
37,426000000,0.1759291886010284,1.5707963267948966
37,476000000,0.19006635554218249,1.5707963267948966
37,526000000,0.20577431881013145,1.5707963267948966
37,576000000,0.2214822820780804,1.5707963267948966
37,626000000,0.23876104167282428,1.5707963267948966
37,676000000,0.25446900494077324,1.5707963267948966
37,726000000,0.273318560862312,1.5707963267948966
37,776000000,0.29059732045705583,1.5707963267948966
37,826000000,0.30944687637859464,1.5707963267948966
37,876000000,0.3282964323001334,1.5707963267948966
37,926000000,0.34871678454846705,1.5707963267948966
37,976000000,0.36913713679680066,1.5707963267948966
38,26000000,0.3895574890451344,1.5707963267948966
38,76000000,0.409977841293468,1.5707963267948966
38,126000000,0.43196898986859655,1.5707963267948966
38,176000000,0.45238934211693027,1.5707963267948966
38,226000000,0.4743804906920588,1.5707963267948966
38,276000000,0.4979424355939822,1.5707963267948966
38,326000000,0.5199335841691107,1.5707963267948966
38,376000000,0.5434955290710343,1.5707963267948966
38,426000000,0.5670574739729577,1.5707963267948966
38,476000000,0.5906194188748812,1.5707963267948966
38,526000000,0.6141813637768045,1.5707963267948966
38,576000000,0.637743308678728,1.5707963267948966
38,626000000,0.6628760499074463,1.5707963267948966
38,676000000,0.6864379948093697,1.5707963267948966
38,726000000,0.7115707360380882,1.5707963267948966
38,776000000,0.7351326809400116,1.5707963267948966
38,826000000,0.7602654221687299,1.5707963267948966
38,876000000,0.7838273670706534,1.5707963267948966
38,926000000,0.8089601082993718,1.5707963267948966
38,976000000,0.83409284952809,1.5707963267948966
39,26000000,0.8576547944300136,1.5707963267948966
39,76000000,0.8827875356587318,1.5707963267948966
39,126000000,0.9063494805606553,1.5707963267948966
39,176000000,0.9299114254625788,1.5707963267948966
39,226000000,0.9550441666912971,1.5707963267948966
39,276000000,0.9786061115932205,1.5707963267948966
39,326000000,1.002168056495144,1.5707963267948966
39,376000000,1.0257300013970676,1.5707963267948966
39,426000000,1.0477211499721961,1.5707963267948966
39,476000000,1.0712830948741194,1.5707963267948966
39,526000000,1.093274243449248,1.5707963267948966
39,576000000,1.1152653920243765,1.5707963267948966
39,626000000,1.137256540599505,1.5707963267948966
39,676000000,1.1592476891746337,1.5707963267948966
39,726000000,1.1796680414229674,1.5707963267948966
39,776000000,1.2000883936713012,1.5707963267948966
39,826000000,1.2205087459196349,1.5707963267948966
39,876000000,1.2393583018411736,1.5707963267948966
39,926000000,1.2597786540895073,1.5707963267948966
39,976000000,1.278628210011046,1.5707963267948966
40,26000000,1.2959069696057897,1.5707963267948966
40,76000000,1.3131857292005336,1.5707963267948966
40,126000000,1.3304644887952775,1.5707963267948966
40,176000000,1.3477432483900214,1.5707963267948966
40,226000000,1.3634512116579702,1.5707963267948966
40,276000000,1.379159174925919,1.5707963267948966
40,326000000,1.3932963418670732,1.5707963267948966
40,376000000,1.4074335088082273,1.5707963267948966
40,426000000,1.4199998794225865,1.5707963267948966
40,476000000,1.4341370463637406,1.5707963267948966
40,526000000,1.4451326206513049,1.5707963267948966
40,576000000,1.457698991265664,1.5707963267948966
40,626000000,1.4686945655532284,1.5707963267948966
40,676000000,1.4796901398407927,1.5707963267948966
40,726000000,1.489114917801562,1.5707963267948966
40,776000000,1.4985396957623314,1.5707963267948966
40,826000000,1.5063936773963058,1.5707963267948966
40,876000000,1.5142476590302805,1.5707963267948966
40,926000000,1.5221016406642547,1.5707963267948966
40,976000000,1.5283848259714343,1.5707963267948966
41,26000000,1.5346680112786142,1.5707963267948966
41,76000000,1.5393804002589988,1.5707963267948966
41,126000000,1.5440927892393834,1.5707963267948966
41,176000000,1.548805178219768,1.5707963267948966
41,226000000,1.5535175672001529,1.5707963267948966
41,276000000,1.5566591598537425,1.5707963267948966
41,326000000,1.5598007525073323,1.5707963267948966
41,376000000,1.561371548834127,1.5707963267948966
41,426000000,1.564513141487717,1.5707963267948966
41,476000000,1.566083937814512,1.5707963267948966
41,526000000,1.5676547341413067,1.5707963267948966
41,576000000,1.5676547341413067,1.5707963267948966
41,626000000,1.5692255304681015,1.5707963267948966
41,676000000,1.5692255304681015,1.5707963267948966
41,726000000,1.5692255304681015,1.5707963267948966
41,776000000,1.5692255304681015,1.5707963267948966
41,826000000,1.5692255304681015,1.5707963267948966
41,876000000,1.5692255304681015,1.5707963267948966
41,926000000,1.5707963267948966,1.5707963267948966
41,976000000,1.5707963267948966,1.5707963267948966
42,26000000,1.5707963267948966,1.5707963267948966
42,76000000,1.5707963267948966,1.5707963267948966
42,126000000,1.5707963267948966,1.5707963267948966
42,176000000,1.5707963267948966,1.5707963267948966
42,226000000,1.5707963267948966,1.5707963267948966
42,276000000,1.5707963267948966,1.5707963267948966
42,326000000,1.5707963267948966,1.5707963267948966
42,376000000,1.5707963267948966,1.5707963267948966
42,426000000,1.5707963267948966,1.5707963267948966
42,476000000,1.5707963267948966,1.5707963267948966
42,526000000,1.5707963267948966,1.5707963267948966
42,576000000,1.5707963267948966,1.5707963267948966
42,626000000,1.5707963267948966,1.5707963267948966
42,676000000,1.5707963267948966,1.5707963267948966
42,720000000,1.5707963267948966,1.5707963267948966
42,757000000,1.5707963267948966,1.5707963267948966
42,804000000,1.5707963267948966,1.5707963267948966
42,853000000,1.5707963267948966,1.5707963267948966
42,903000000,1.5707963267948966,1.5707963267948966
42,953000000,1.5707963267948966,1.5707963267948966
43,3000000,1.5707963267948966,1.5707963267948966
43,53000000,1.5707963267948966,1.5707963267948966
43,103000000,1.5707963267948966,1.5707963267948966
43,153000000,1.5707963267948966,1.5707963267948966
43,203000000,1.5707963267948966,1.5707963267948966
43,253000000,1.5707963267948966,1.5707963267948966
43,303000000,1.5707963267948966,1.5707963267948966
43,353000000,1.5707963267948966,1.5707963267948966
43,403000000,1.5707963267948966,1.5707963267948966
43,453000000,1.5707963267948966,1.5707963267948966
43,503000000,1.5707963267948966,1.5707963267948966
43,553000000,1.5707963267948966,1.5707963267948966
43,603000000,1.5707963267948966,1.5707963267948966
43,653000000,1.5707963267948966,1.5707963267948966
43,703000000,1.5707963267948966,1.5707963267948966
43,753000000,1.5707963267948966,1.5707963267948966
43,803000000,1.5707963267948966,1.5707963267948966
43,853000000,1.5707963267948966,1.5707963267948966
43,903000000,1.5707963267948966,1.5707963267948966
43,953000000,1.5707963267948966,1.5707963267948966
44,3000000,1.5707963267948966,1.5707963267948966
44,53000000,1.5707963267948966,1.5707963267948966
44,103000000,1.5707963267948966,1.5707963267948966
44,153000000,1.5707963267948966,1.5707963267948966
44,203000000,1.5707963267948966,1.5707963267948966
44,253000000,1.5707963267948966,1.5707963267948966
44,303000000,1.5707963267948966,1.5707963267948966
44,353000000,1.5707963267948966,1.5707963267948966
44,403000000,1.5707963267948966,1.5707963267948966
44,453000000,1.5707963267948966,1.5707963267948966
44,503000000,1.5707963267948966,1.5707963267948966
44,553000000,1.5707963267948966,1.5707963267948966
44,603000000,1.5707963267948966,1.5707963267948966
44,653000000,1.5707963267948966,1.5707963267948966
44,703000000,1.5707963267948966,1.5707963267948966
44,753000000,1.5707963267948966,1.5707963267948966
44,803000000,1.5707963267948966,1.5707963267948966
44,853000000,1.5707963267948966,1.5707963267948966
44,903000000,1.5707963267948966,1.5707963267948966
44,953000000,1.5707963267948966,1.5707963267948966
45,3000000,1.5707963267948966,1.5707963267948966
45,53000000,1.5707963267948966,1.5707963267948966
45,103000000,1.5707963267948966,1.5707963267948966
45,153000000,1.5707963267948966,1.5707963267948966
45,203000000,1.5707963267948966,1.5707963267948966
45,253000000,1.5707963267948966,1.5707963267948966
45,303000000,1.5707963267948966,1.5707963267948966
45,353000000,1.5707963267948966,1.5707963267948966
45,403000000,1.5707963267948966,1.5723671231216916
45,453000000,1.5707963267948966,1.5723671231216916
