time_sec,time_nsec,x,y,z,qx,qy,qz,qw
1780641116,901739332,19.19981575012207,9.353034019470215,-0.11402255296707153,0.0,0.0,0.0,1.0
1780641116,951700535,19.205211639404297,9.354267120361328,-0.11920535564422607,0.0,0.0,0.0,1.0
1780641117,1716164,19.210060119628906,9.355342864990234,-0.1236095279455185,0.0,0.0,0.0,1.0
1780641117,51771640,19.21445655822754,9.35628890991211,-0.12724870443344116,0.0,0.0,0.0,1.0
1780641117,101692056,19.218463897705078,9.357200622558594,-0.13021518290042877,0.0,0.0,0.0,1.0
1780641117,151767644,19.22235107421875,9.358006477355957,-0.1329275369644165,0.0,0.0,0.0,1.0
1780641117,201732432,19.22664451599121,9.35869312286377,-0.13618582487106323,0.0,0.0,0.0,1.0
1780641117,251799686,19.230539321899414,9.359227180480957,-0.13897408545017242,0.0,0.0,0.0,1.0
1780641117,301739121,19.234119415283203,9.359699249267578,-0.14136773347854614,0.0,0.0,0.0,1.0
1780641117,351805079,19.238412857055664,9.360794067382812,-0.14372172951698303,0.0,0.0,0.0,1.0
1780641117,401775960,19.24225616455078,9.361717224121094,-0.14550316333770752,0.0,0.0,0.0,1.0
1780641117,451839769,19.245813369750977,9.362456321716309,-0.14693160355091095,0.0,0.0,0.0,1.0
1780641117,501809928,19.24905776977539,9.363077163696289,-0.14803455770015717,0.0,0.0,0.0,1.0
1780641117,551860922,19.253543853759766,9.364852905273438,-0.14816762506961823,0.0,0.0,0.0,1.0
1780641117,601816821,19.25748634338379,9.366455078125,-0.1479301005601883,0.0,0.0,0.0,1.0
1780641117,651892094,19.26104164123535,9.3678617477417,-0.14749810099601746,0.0,0.0,0.0,1.0
1780641117,701830362,19.264366149902344,9.369081497192383,-0.14706985652446747,0.0,0.0,0.0,1.0
1780641117,751858300,19.26939582824707,9.370428085327148,-0.1451016068458557,0.0,0.0,0.0,1.0
1780641117,801834533,19.273889541625977,9.371453285217285,-0.14318877458572388,0.0,0.0,0.0,1.0
1780641117,851918103,19.2781982421875,9.372443199157715,-0.1416630893945694,0.0,0.0,0.0,1.0
1780641117,901865723,19.28275489807129,9.373538970947266,-0.13992707431316376,0.0,0.0,0.0,1.0
1780641117,951912921,19.28870964050293,9.37516975402832,-0.13806085288524628,0.0,0.0,0.0,1.0
1780641118,1873059,19.29489517211914,9.376358985900879,-0.13602246344089508,0.0,0.0,0.0,1.0
1780641118,51973215,19.30104637145996,9.376765251159668,-0.13366633653640747,0.0,0.0,0.0,1.0
1780641118,101899662,19.307323455810547,9.37630844116211,-0.1300164759159088,0.0,0.0,0.0,1.0
1780641118,151934168,19.31429672241211,9.375016212463379,-0.12425138801336288,0.0,0.0,0.0,1.0
1780641118,201923524,19.32279396057129,9.373100280761719,-0.11524219065904617,0.0,0.0,0.0,1.0
1780641118,251946418,19.331499099731445,9.370162010192871,-0.10436849296092987,0.0,0.0,0.0,1.0
1780641118,301923200,19.340255737304688,9.366304397583008,-0.09142103046178818,0.0,0.0,0.0,1.0
1780641118,351978280,19.350845336914062,9.360321998596191,-0.0740489512681961,0.0,0.0,0.0,1.0
1780641118,401927654,19.361377716064453,9.353264808654785,-0.05502055585384369,0.0,0.0,0.0,1.0
1780641118,452036069,19.37163734436035,9.345396041870117,-0.03474341332912445,0.0,0.0,0.0,1.0
1780641118,501938238,19.381797790527344,9.336593627929688,-0.012264435179531574,0.0,0.0,0.0,1.0
1780641118,552017393,19.395532608032227,9.329269409179688,0.009908577427268028,0.0,0.0,0.0,1.0
1780641118,602043028,19.40955352783203,9.32130241394043,0.03271505981683731,0.0,0.0,0.0,1.0
1780641118,652052941,19.42287254333496,9.31274700164795,0.05799794942140579,0.0,0.0,0.0,1.0
1780641118,701989388,19.434518814086914,9.304788589477539,0.0851302295923233,0.0,0.0,0.0,1.0
1780641118,752085192,19.445152282714844,9.295156478881836,0.11757048219442368,0.0,0.0,0.0,1.0
1780641118,802090141,19.455472946166992,9.285676956176758,0.15226024389266968,0.0,0.0,0.0,1.0
1780641118,852081312,19.465465545654297,9.276820182800293,0.18867114186286926,0.0,0.0,0.0,1.0
1780641118,902014870,19.475074768066406,9.268733024597168,0.2281736433506012,0.0,0.0,0.0,1.0
1780641118,952122582,19.48391342163086,9.264924049377441,0.2663692533969879,0.0,0.0,0.0,1.0
1780641119,2061194,19.491744995117188,9.261906623840332,0.3075500726699829,0.0,0.0,0.0,1.0
