time_sec,time_nsec,x,y,z,qx,qy,qz,qw
1778148463,863857531,0.0,0.0,0.2199999988079071,-2.747558455624983e-07,-6.333649635380401e-07,-0.7069777890159458,-0.7072357498300323
1778148463,914087644,0.0,0.0,0.2199999988079071,-2.747558455624983e-07,-6.333649635380401e-07,-0.7069777890159458,-0.7072357498300323
1778148463,964061234,0.0,0.0,0.2199999988079071,-2.747558455624983e-07,-6.333649635380401e-07,-0.7069777890159458,-0.7072357498300323
1778148464,16836009,0.0,0.0,0.2199999988079071,-2.747558455624983e-07,-6.333649635380401e-07,-0.7069777890159458,-0.7072357498300323
1778148464,66996941,0.0,0.0,0.2199999988079071,-2.747558455624983e-07,-6.333649635380401e-07,-0.7069777890159458,-0.7072357498300323
1778148464,116793683,0.0,0.0,0.2199999988079071,-2.747558455624983e-07,-6.333649635380401e-07,-0.7069777890159458,-0.7072357498300323
1778148464,166886201,0.0,0.0,0.2199999988079071,-2.747558455624983e-07,-6.333649635380401e-07,-0.7069777890159458,-0.7072357498300323
1778148464,672158473,0.0,0.0,0.23000000417232513,0.0004871591398179028,-0.0005619919530987263,-0.7069778538406868,-0.7072352939579823
1778148464,922932791,0.0,0.0,0.2800000011920929,0.0008616275230007411,-0.001012246570688575,-0.7069795443781771,-0.7072327458381129
1778148465,172746957,0.0,0.0,0.38999998569488525,0.00034914547978438814,-0.00043460997523330115,-0.7069807663940603,-0.7072325538042423
1778148465,421844716,0.0,0.0,0.5699999928474426,-0.00030573722130282946,0.0003373762738090872,-0.7069828314478432,-0.7072305626455858
1778148465,672040802,0.0,0.0,0.800000011920929,-0.0007820473371855084,0.0007980560990723696,-0.706980495716498,-0.7072321614469183
1778148465,921514802,0.0,0.0,1.100000023841858,-0.0008811775843408034,0.0008863628867678058,-0.7069760489745319,-0.7072363848553453
1778148466,172131792,0.0,0.0,1.4600000381469727,-0.0006246348453221814,0.0006959911026216643,-0.7069740555046247,-0.7072388636599652
1778148466,422008882,0.0,0.0,1.8799999952316284,-0.0002694012201013844,0.00037934674622599964,-0.7069755065272222,-0.7072378784324311
1778148466,672076423,0.0,0.0,2.2799999713897705,2.7589357924449766e-05,0.00016773200435439233,-0.7069741384703127,-0.7072393785974882
1778148466,922467675,0.0,0.0,2.619999885559082,0.00010408491071108882,6.932745607695696e-05,-0.7069732041165068,-0.7072403219707395
1778148467,173398925,0.0,0.0,2.890000104904175,0.00013169524910715963,-6.393844673208035e-06,-0.7069719625627555,-0.7072415618200375
1778148467,421517560,0.0,0.0,3.0899999141693115,0.00017055980082437172,-6.999967334727857e-05,-0.7069739555985946,-0.7072395577982588
1778148467,671798977,0.0,0.0,3.2200000286102295,0.0001877189260035836,-0.00014040705800775444,-0.7069740945221779,-0.7072394041072722
1778148467,923284359,0.0,0.0,3.2799999713897705,0.0001210003505392946,-0.00016134630108054722,-0.7069702672023683,-0.7072432400653245
1778148468,173339556,0.0,0.0,3.2799999713897705,-6.726370655436327e-06,-0.00018163394657964515,-0.7069728821050679,-0.7072406315617896
1778148468,424687122,0.0,0.0,3.259999990463257,-5.1631729281560394e-05,-0.0001890266429874867,-0.7069759981647529,-0.7072375128781307
1778148468,675173541,0.0,0.0,3.240000009536743,2.923834415733921e-05,-0.0002502000326322089,-0.7069805352730418,-0.7072329597028876
1778148468,928051427,0.0,-0.011131884530186653,3.2300000190734863,0.00043897313718627883,-0.000351052929224803,-0.7069877686446813,-0.7072255503382497
1778148469,178364919,0.0,-0.011131884530186653,3.2200000286102295,0.0008738344399428209,-0.0007228204921648913,-0.7070025920065007,-0.7072100457714081
1778148469,428326219,0.0,-0.011131884530186653,3.2100000381469727,0.0008378865757771962,-0.0006424586333494256,-0.7070064543134591,-0.7072063056506929
1778148469,678840599,0.0,-0.011131884530186653,3.2100000381469727,0.0004893744740142312,-0.00039354252155097004,-0.7070155203427041,-0.7071977514326833
1778148469,927970033,0.0,-0.011131884530186653,3.2100000381469727,0.000712557403555991,-0.0007746510954297059,-0.7070361205189496,-0.7071766515228994
1778148470,178345176,0.0,-0.011131884530186653,3.2200000286102295,9.148023174325187e-06,-0.0003536831602348376,-0.7070476616380976,-0.7071658072875372
1778148470,428605247,0.0,0.0,3.2200000286102295,-0.000324272796461246,8.013211643842273e-05,-0.7070382738391413,-0.7071752030102334
1778148470,678281685,0.0,0.0,3.2200000286102295,-0.0009410471187263206,0.0011322862882047016,-0.7070223050496113,-0.7071897146596635
1778148470,928021700,0.0,0.0,3.2200000286102295,-0.0008916570462278658,0.0011312198322363817,-0.7070147292548431,-0.707197354283869
1778148471,177891901,0.0,0.0,3.2200000286102295,-0.0005783933063632169,0.0006490524856607899,-0.707002403809475,-0.7072106088002907
1778148471,428220328,0.0,0.0,3.2200000286102295,-0.00013229364359410308,0.0002443007739416964,-0.706983947517168,-0.7072295389536313
1778148471,678862380,0.0,0.0,3.2200000286102295,6.539649924243069e-05,-3.592571534581984e-05,-0.706965414014368,-0.7072481161658434
1778148471,928393874,0.0,0.0,3.2200000286102295,0.0001777919268074666,-0.000112038858398734,-0.7069521448405652,-0.7072613525017815
1778148472,177964297,0.0,0.0,3.2200000286102295,0.00015270386739401983,-0.00022823685898894238,-0.706949638195309,-0.7072638359516108
1778148472,428152345,0.0,0.0,3.2200000286102295,5.576426674642525e-05,-0.000184002501658522,-0.7069533848882908,-0.7072601180813278
1778148472,678331554,0.0,0.0,3.2200000286102295,1.807174463821686e-05,-9.928791768165743e-05,-0.7069598431083379,-0.7072536815369402
1778148472,927846754,0.0,0.0,3.2100000381469727,-4.220226642308529e-06,-7.611021519470665e-05,-0.7069696943830538,-0.7072438373102703
1778148473,178104924,0.0,0.0,3.2200000286102295,-0.00020256727940649706,9.676115298762463e-05,-0.7069811261603638,-0.707232378258236
1778148473,427872931,0.0,0.0,3.2200000286102295,3.711027660668937e-05,-8.251913449938654e-05,-0.7069985291370153,-0.707215010878245
1778148473,678027606,0.0,0.0,3.2200000286102295,0.00013655726863080362,-0.0001348908389888296,-0.7070143278554197,-0.707199196382266
1778148473,928217616,0.0,0.0,3.2200000286102295,0.0001015349846664341,-0.00014973181080964824,-0.7070310190356358,-0.7071825120804827
1778148474,178978808,0.0,0.0,3.2100000381469727,-2.8900216371789207e-05,5.182188105910063e-05,-0.7070345839885218,-0.7071789685245511
1778148474,428281095,0.0,0.0,3.2200000286102295,-0.00022395902674888626,0.0001895210375979897,-0.7070523172744981,-0.7071611800437669
1778148474,679199346,0.0,0.0,3.2200000286102295,-0.00017842903973151012,0.00015407152332027704,-0.7070797844316762,-0.7071337376148148
1778148474,928115844,0.0,0.0,3.2200000286102295,5.854395726611758e-05,-3.7666702049549674e-05,-0.7071126134898692,-0.7071009454083281
1778148475,177912133,0.0,0.0,3.2200000286102295,0.00024989700231960177,-0.00015961686032030093,-0.7071333271345512,-0.7070801720664822
1778148475,428312693,0.0,0.0,3.2200000286102295,0.0001705108691256698,-0.00014291170677955737,-0.707149781863767,-0.7070637428919082
1778148475,678073796,0.0,0.0,3.2200000286102295,-1.3471408489697782e-05,0.00015000876552705757,-0.7071597812852505,-0.7070537610737162
1778148475,930725731,0.0,0.0,3.2200000286102295,-0.0002741962982696065,0.00044283957541696575,-0.70717208916099,-0.7070412753306423
1778148476,180861820,0.0,0.0,3.2200000286102295,-0.00040361385892974903,0.00038086283130376426,-0.7071812826441986,-0.7070320540944822
1778148476,431633605,0.0,0.0,3.2200000286102295,-0.00020739063491034427,0.00015354953294020393,-0.707185783923962,-0.7070277225311019
1778148476,681839502,0.0,0.0,3.2200000286102295,0.00016077539179277112,-0.000226184579780658,-0.707196649698911,-0.7070168467911108
1778148476,932181444,0.0,0.0,3.2200000286102295,0.00026427691653221604,-0.0003778588955929121,-0.7072149735924761,-0.7069984218560601
1778148477,181876008,0.0,0.0,3.2200000286102295,0.00029491479256198546,-0.0003430449586725221,-0.7072354521708613,-0.7069779420449404
1778148477,432433437,0.0,0.0,3.2200000286102295,0.0001766547176939665,-0.0001813014835192643,-0.7072644059581932,-0.7069490759506564
1778148477,681864151,0.0,0.0,3.2200000286102295,0.00011537896622667475,4.349663498087406e-05,-0.7072551212112315,-0.7069583992826051
1778148477,931564535,0.0,0.0,3.2200000286102295,-1.200715316578357e-05,0.0001844251430056997,-0.7072404020579555,-0.7069731109031635
1778148478,181427866,0.0,0.0,3.2200000286102295,-1.339355586199724e-06,9.95882847308573e-05,-0.7072133578136577,-0.7070001814782728
1778148478,432032034,0.0,0.0,3.2200000286102295,3.440230681641956e-05,4.882835243570313e-05,-0.7071775456216286,-0.7070360071459181
1778148478,682377156,0.0,0.0,3.2200000286102295,5.064691722222051e-05,7.351571753305918e-05,-0.7071438475306498,-0.7070697072636316
1778148478,931753917,0.0,0.0,3.2200000286102295,3.262857517296858e-05,7.33204863218421e-05,-0.7071013593657122,-0.7071121984117119
1778148479,181975700,0.0,0.0,3.2200000286102295,3.777835752469429e-06,-6.637599094620282e-05,-0.7070608194576518,-0.7071527368028988
1778148479,431649717,0.0,0.0,3.2200000286102295,5.4540541639428393e-05,2.425208555643651e-06,-0.7070097900545511,-0.7072037569091861
1778148479,681973685,0.0,0.0,3.2200000286102295,-5.2737587696754035e-05,-7.480085129106134e-05,-0.7069697479466464,-0.7072437819534613
1778148479,932089531,0.0,0.0,3.2200000286102295,3.775969485701637e-06,-4.627428752695222e-05,-0.7069348403907769,-0.7072786786593378
1778148480,184101360,0.0,0.0,3.2100000381469727,-3.690692001764978e-05,-0.00012038030697804342,-0.7069005265287763,-0.7073129644929461
