time_sec,time_nsec,x,y,z
1781337441,232833714,20.164899826049805,-7.209177494049072,8.4725923538208
1781337457,84117082,25.17618751525879,-7.3394012451171875,8.4725923538208
1781337457,135598177,25.17552594592199,-7.258067022959532,8.4725923538208
1781337457,181887220,25.17390926854882,-7.188479819561956,8.4725923538208
1781337457,233165887,25.171002303941854,-7.111749698333626,8.4725923538208
1781337457,282293451,25.16709868875288,-7.0380614729466,8.4725923538208
1781337457,333412894,25.161901829712058,-6.961707222586047,8.4725923538208
1781337457,381532925,25.155920542833975,-6.889669131435172,8.4725923538208
1781337457,433258227,25.148344888081215,-6.812475197281643,8.4725923538208
1781337457,481894766,25.140113533302713,-6.739869354900677,8.4725923538208
1781337457,532993578,25.130357912293373,-6.663978653589336,8.4725923538208
1781337457,581984677,25.119883745853922,-6.591158250095202,8.4725923538208
1781337457,633517459,25.107760401793463,-6.515029445019657,8.4725923538208
1781337457,682763894,25.094999189370796,-6.442020771394134,8.4725923538208
1781337457,733288144,25.08085092352325,-6.367662158926025,8.4725923538208
1781337457,782211334,25.066047402059837,-6.295720121663271,8.4725923538208
1781337457,833213812,25.04952213982389,-6.22109465163983,8.4725923538208
1781337457,882872753,25.0322992814279,-6.148528239934048,8.4725923538208
1781337457,933335483,25.013736531681122,-6.075233727059821,8.4725923538208
1781337457,981932558,24.994773241243315,-6.00477335640132,8.4725923538208
1781337458,33580581,24.97355353758607,-5.930401866898837,8.4725923538208
1781337458,82117358,24.9524945149049,-5.86058704274707,8.4725923538208
1781337458,134925934,24.928491482553483,-5.7851789307634345,8.4725923538208
1781337458,182222304,24.905911761288955,-5.7177636294599905,8.4725923538208
1781337458,233657010,24.880406876965523,-5.645199310003347,8.4725923538208
1781337458,283014575,24.85474624774253,-5.575573536212449,8.4725923538208
1781337458,333886736,24.827402075498973,-5.504679709131489,8.4725923538208
1781337458,382289918,24.800125109654445,-5.436981437836341,8.4725923538208
1781337458,433712716,24.77030958620653,-5.366068430503583,8.4725923538208
1781337458,481744245,24.741341188121574,-5.299947410594958,8.4725923538208
1781337458,533771162,24.70899338046091,-5.229029005821654,8.4725923538208
1781337458,582426459,24.677635619842906,-5.162944270643294,8.4725923538208
1781337458,633888961,24.64358711820477,-5.093885538737453,8.4725923538208
1781337458,681571114,24.61091957259079,-5.030039519515963,8.4725923538208
1781337458,734204725,24.57401100952233,-4.96050475445106,8.4725923538208
1781337458,781290519,24.539862530408925,-4.8984300527114994,8.4725923538208
1781337458,833321029,24.501311886394568,-4.830756357093506,8.4725923538208
1781337458,882113975,24.46409960607852,-4.767668385467499,8.4725923538208
1781337458,934358155,24.423318319694417,-4.700863784702047,8.4725923538208
1781337458,981705174,24.385372890123204,-4.640742600525857,8.4725923538208
1781337459,35635450,24.341265558269512,-4.5731538057817325,8.4725923538208
1781337459,81466318,24.302662435648838,-4.515891951455849,8.4725923538208
1781337459,136049603,24.256006998507495,-4.448886933769761,8.4725923538208
1781337459,181749803,24.215852290431545,-4.3930291531660615,8.4725923538208
1781337459,234645749,24.168704757924985,-4.329450071590758,8.4725923538208
1781337459,282106844,24.125405853368516,-4.272860112515531,8.4725923538208
1781337459,335454982,24.075895370205693,-4.210139567649894,8.4725923538208
1781337459,381455889,24.03222549769012,-4.156482603673943,8.4725923538208
1781337459,435267219,23.980451249532248,-4.094778394909208,8.4725923538208
1781337459,481867579,23.93465406645896,-4.041837116323103,8.4725923538208
1781337459,535678112,23.881024271518502,-3.9816959856480056,8.4725923538208
1781337459,581957968,23.83395434214692,-3.9304803249260587,8.4725923538208
1781337459,635422367,23.778876616257328,-3.872323045603028,8.4725923538208
1781337459,681871058,23.730151372449807,-3.82239386642434,8.4725923538208
1781337459,735515497,23.67317402412578,-3.7657357100114974,8.4725923538208
1781337459,783024666,23.62181444826444,-3.716190646967244,8.4725923538208
1781337459,835232658,23.564763587811427,-3.6627788548622755,8.4725923538208
1781337459,882442934,23.512176884841583,-3.6149986183821854,8.4725923538208
1781337459,934970709,23.45321478429986,-3.5630151051731787,8.4725923538208
1781337459,981892240,23.399583689936886,-3.5171352809186445,8.4725923538208
1781337460,34155807,23.33939782389376,-3.4671795903890574,8.4725923538208
1781337460,82107019,23.283185600778314,-3.421932305026148,8.4725923538208
1781337460,135280227,23.220432021366726,-3.3729701809195967,8.4725923538208
1781337460,181675065,23.164796189434817,-3.330883041012359,8.4725923538208
1781337460,233570090,23.102175903476628,-3.284947897005461,8.4725923538208
1781337460,282186514,23.04258698329434,-3.2426032162115,8.4725923538208
1781337460,334272744,22.978648494793163,-3.198602716066633,8.4725923538208
1781337460,382017175,22.918616954444023,-3.158602186194339,8.4725923538208
1781337460,434091869,22.853170499588927,-3.116397325913832,8.4725923538208
1781337460,482215212,22.791760602805745,-3.0780895428710267,8.4725923538208
1781337460,534689411,22.724611918009245,-3.0375954541189483,8.4725923538208
1781337460,581945409,22.66308164844721,-3.001733949171933,8.4725923538208
1781337460,634254198,22.594932587008515,-2.963367392655986,8.4725923538208
1781337460,682421671,22.531219754414668,-2.9287524093407047,8.4725923538208
1781337460,734110193,22.462767819468915,-2.8928800754387707,8.4725923538208
1781337460,782270370,22.39806338081083,-2.860197338385839,8.4725923538208
1781337460,834458639,22.32787567068192,-2.826061231135103,8.4725923538208
1781337460,882705077,22.262132837594862,-2.7953026422890916,8.4725923538208
1781337460,934919365,22.190953967503354,-2.7632985208648293,8.4725923538208
1781337460,982358162,22.125399038319767,-2.7349930922308356,8.4725923538208
1781337461,34478763,22.053361468568887,-2.705157191443046,8.4725923538208
1781337461,82401750,21.986297221379886,-2.6785533767775442,8.4725923538208
1781337461,135870258,21.911510312629638,-2.650195044817928,8.4725923538208
1781337461,182428931,21.845656493031647,-2.626347741044266,8.4725923538208
1781337461,234532439,21.77196076930419,-2.6008880055373567,8.4725923538208
1781337461,282483649,21.703454320453385,-2.578366052456804,8.4725923538208
1781337461,334769622,21.62875734800999,-2.5550474871911346,8.4725923538208
1781337461,383632919,21.55852620532704,-2.534285247980346,8.4725923538208
1781337461,435318569,21.48478498005033,-2.5136813324884866,8.4725923538208
1781337461,483049369,21.41446754608081,-2.4951611018885913,8.4725923538208
1781337461,535044579,21.338971291574804,-2.476487109587312,8.4725923538208
1781337461,582840028,21.268961757876376,-2.4602779166214264,8.4725923538208
1781337461,635603211,21.191711459832213,-2.4436162091910765,8.4725923538208
1781337461,683222084,21.121627502267117,-2.4296005128098477,8.4725923538208
1781337461,736865020,21.042499097055636,-2.415022680948441,8.4725923538208
1781337461,782967798,20.974154129317125,-2.4034870154279924,8.4725923538208
1781337461,834935230,20.89727428542727,-2.39167107160449,8.4725923538208
1781337461,882768049,20.82603076544671,-2.381810726509867,8.4725923538208
1781337461,935632660,20.74752848049321,-2.372151553240907,8.4725923538208
1781337461,982925602,20.67683845391272,-2.364529524396649,8.4725923538208
1781337462,35828454,20.59807577362031,-2.357232008985532,8.4725923538208
1781337462,83286878,20.526991070083447,-2.351722740449672,8.4725923538208
1781337462,136690459,20.446959671350417,-2.3467383845301146,8.4725923538208
1781337462,183410484,20.3769745996606,-2.3434344170910624,8.4725923538208
1781337462,234695276,20.300100175881283,-2.340936915691854,8.4725923538208
1781337462,282949638,20.227589317696914,-2.339665466627877,8.4725923538208
1781337462,335427113,20.149070296499513,-2.3394747800132496,8.4725923538208
1781337462,383136300,20.07737471245721,-2.3403777374706696,8.4725923538208
1781337462,435048490,19.99962915609093,-2.3425195028895454,8.4725923538208
1781337462,482870012,19.927839008489045,-2.3455727519483203,8.4725923538208
1781337462,535422636,19.84935728482725,-2.350094479595943,8.4725923538208
1781337462,583023007,19.777913962298392,-2.355288668437934,8.4725923538208
1781337462,634817510,19.700643762605306,-2.3620668039416453,8.4725923538208
1781337462,682883517,19.6287775680476,-2.369457347074249,8.4725923538208
1781337462,735292528,19.550860180950814,-2.3786587880884733,8.4725923538208
1781337462,783193107,19.479568786648358,-2.3881668185373686,8.4725923538208
1781337462,834949461,19.402837457116906,-2.399570307972482,8.4725923538208
1781337462,883419030,19.331059205740786,-2.411342992574789,8.4725923538208
1781337462,935124772,19.254775262237423,-2.42503460637501,8.4725923538208
1781337462,982994980,19.184167205792118,-2.4387996794310265,8.4725923538208
1781337463,35518362,19.107224235420333,-2.4550059390064085,8.4725923538208
